Processes,Size,Latency
2,2,0.38
2,4,0.37
2,8,0.37
2,16,0.37
2,32,0.50
2,64,0.50
2,128,0.79
2,256,0.80
2,512,0.89
2,1024,1.02
2,2048,1.42
2,4096,2.05
2,8192,3.36
2,16384,3.67
2,32768,6.00
2,65536,7.34
2,131072,10.41
2,262144,15.94
2,524288,29.53
2,1048576,63.19
4,2,0.34
4,4,0.39
4,8,0.35
4,16,0.34
4,32,0.60
4,64,0.57
4,128,1.09
4,256,1.15
4,512,1.30
4,1024,1.65
4,2048,2.40
4,4096,3.78
4,8192,5.82
4,16384,8.86
4,32768,14.15
4,65536,22.25
4,131072,38.47
4,262144,82.10
4,524288,152.92
4,1048576,347.19
6,2,0.68
6,4,0.66
6,8,0.67
6,16,0.67
6,32,0.89
6,64,0.89
6,128,1.75
6,256,1.91
6,512,2.08
6,1024,2.63
6,2048,3.57
6,4096,5.33
6,8192,8.34
6,16384,13.42
6,32768,21.42
6,65536,45.37
6,131072,73.21
6,262144,153.68
6,524288,267.93
6,1048576,506.54
8,2,1.01
8,4,1.03
8,8,1.03
8,16,1.01
8,32,1.35
8,64,1.47
8,128,2.88
8,256,2.75
8,512,3.03
8,1024,3.64
8,2048,4.98
8,4096,7.00
8,8192,10.90
8,16384,13.83
8,32768,22.99
8,65536,45.40
8,131072,83.60
8,262144,165.63
8,524288,314.12
8,1048576,534.10
10,2,1.36
10,4,1.31
10,8,1.32
10,16,1.33
10,32,1.76
10,64,1.82
10,128,2.42
10,256,2.50
10,512,2.72
10,1024,3.34
10,2048,4.43
10,4096,6.30
10,8192,9.87
10,16384,19.72
10,32768,33.75
10,65536,53.12
10,131072,114.91
10,262144,265.55
10,524288,464.74
10,1048576,736.37
12,2,1.58
12,4,1.61
12,8,1.62
12,16,1.92
12,32,2.06
12,64,1.95
12,128,3.05
12,256,3.08
12,512,3.49
12,1024,4.32
12,2048,5.64
12,4096,7.91
12,8192,12.21
12,16384,25.34
12,32768,39.84
12,65536,78.09
12,131072,144.51
12,262144,275.24
12,524288,562.20
12,1048576,1007.19
14,2,1.34
14,4,1.33
14,8,1.34
14,16,1.42
14,32,1.99
14,64,1.72
14,128,3.09
14,256,3.26
14,512,3.64
14,1024,4.79
14,2048,6.11
14,4096,9.01
14,8192,13.98
14,16384,25.24
14,32768,43.51
14,65536,88.58
14,131072,150.92
14,262144,314.89
14,524288,602.31
14,1048576,987.88
16,2,1.54
16,4,1.57
16,8,1.53
16,16,1.57
16,32,2.39
16,64,2.08
16,128,3.88
16,256,4.01
16,512,4.52
16,1024,5.54
16,2048,7.21
16,4096,10.12
16,8192,15.99
16,16384,25.75
16,32768,43.18
16,65536,82.69
16,131072,159.23
16,262144,305.50
16,524288,589.53
16,1048576,1105.16
18,2,2.21
18,4,2.15
18,8,2.15
18,16,2.28
18,32,2.79
18,64,2.60
18,128,3.91
18,256,4.05
18,512,4.43
18,1024,5.43
18,2048,6.89
18,4096,9.73
18,8192,15.26
18,16384,30.19
18,32768,50.23
18,65536,92.75
18,131072,178.26
18,262144,346.39
18,524288,677.53
18,1048576,1216.23
20,2,2.15
20,4,2.17
20,8,2.17
20,16,2.25
20,32,2.97
20,64,2.62
20,128,4.27
20,256,4.50
20,512,4.95
20,1024,6.09
20,2048,7.80
20,4096,11.07
20,8192,17.17
20,16384,33.72
20,32768,55.41
20,65536,98.80
20,131072,192.45
20,262144,377.30
20,524288,748.82
20,1048576,1339.56
22,2,2.31
22,4,2.17
22,8,2.64
22,16,2.22
22,32,3.16
22,64,2.90
22,128,4.83
22,256,4.92
22,512,5.50
22,1024,6.87
22,2048,8.75
22,4096,12.33
22,8192,19.16
22,16384,35.18
22,32768,61.70
22,65536,112.23
22,131072,215.62
22,262144,432.25
22,524288,731.65
22,1048576,1426.75
24,2,2.32
24,4,2.38
24,8,3.14
24,16,2.27
24,32,3.50
24,64,3.06
24,128,5.21
24,256,5.37
24,512,6.06
24,1024,7.58
24,2048,9.57
24,4096,13.50
24,8192,20.75
24,16384,35.98
24,32768,61.11
24,65536,109.96
24,131072,214.55
24,262144,409.08
24,524288,820.28
24,1048576,1565.12
26,2,2.41
26,4,2.97
26,8,2.43
26,16,2.42
26,32,3.45
26,64,3.14
26,128,4.83
26,256,4.89
26,512,5.52
26,1024,6.88
26,2048,8.82
26,4096,12.30
26,8192,19.32
26,16384,39.42
26,32768,65.03
26,65536,121.60
26,131072,224.82
26,262144,455.38
26,524288,865.89
26,1048576,1582.49
28,2,2.51
28,4,3.04
28,8,2.48
28,16,2.46
28,32,3.65
28,64,3.19
28,128,5.02
28,256,5.24
28,512,5.84
28,1024,7.23
28,2048,9.50
28,4096,13.56
28,8192,21.12
28,16384,41.61
28,32768,69.99
28,65536,128.20
28,131072,245.03
28,262144,493.56
28,524288,975.82
28,1048576,1791.25
30,2,2.34
30,4,2.73
30,8,2.32
30,16,2.37
30,32,3.43
30,64,3.09
30,128,5.15
30,256,5.41
30,512,6.03
30,1024,7.64
30,2048,10.01
30,4096,14.45
30,8192,22.59
30,16384,43.25
30,32768,72.45
30,65536,132.85
30,131072,255.50
30,262144,494.67
30,524288,945.80
30,1048576,1667.68
32,2,3.16
32,4,3.10
32,8,3.01
32,16,3.00
32,32,4.19
32,64,4.05
32,128,6.47
32,256,6.59
32,512,7.46
32,1024,9.03
32,2048,11.87
32,4096,16.52
32,8192,25.98
32,16384,45.34
32,32768,76.14
32,65536,127.64
32,131072,238.23
32,262144,455.23
32,524288,932.39
32,1048576,1660.83
34,2,6.08
34,4,4.79
34,8,4.83
34,16,4.82
34,32,6.07
34,64,5.77
34,128,8.23
34,256,8.32
34,512,9.03
34,1024,10.43
34,2048,13.05
34,4096,17.68
34,8192,27.44
34,16384,48.82
34,32768,82.16
34,65536,136.81
34,131072,271.77
34,262144,495.06
34,524288,993.11
34,1048576,1864.89
36,2,6.21
36,4,5.04
36,8,5.01
36,16,5.02
36,32,6.13
36,64,6.02
36,128,8.58
36,256,8.87
36,512,9.63
36,1024,11.31
36,2048,14.22
36,4096,19.41
36,8192,29.59
36,16384,51.46
36,32768,82.46
36,65536,149.82
36,131072,279.29
36,262144,540.77
36,524288,1029.36
36,1048576,1973.84
38,2,5.45
38,4,4.68
38,8,4.65
38,16,4.66
38,32,5.98
38,64,5.82
38,128,8.62
38,256,8.84
38,512,9.65
38,1024,11.30
38,2048,14.44
38,4096,20.20
38,8192,30.30
38,16384,54.09
38,32768,87.75
38,65536,154.89
38,131072,283.59
38,262144,533.65
38,524288,1062.15
38,1048576,2012.35
40,2,5.72
40,4,4.92
40,8,4.90
40,16,4.85
40,32,6.33
40,64,6.07
40,128,9.26
40,256,9.81
40,512,10.37
40,1024,12.21
40,2048,15.72
40,4096,21.43
40,8192,32.38
40,16384,53.36
40,32768,86.90
40,65536,153.61
40,131072,285.07
40,262144,539.49
40,524288,1007.58
40,1048576,1918.01
42,2,5.54
42,4,4.86
42,8,4.80
42,16,4.84
42,32,6.01
42,64,5.97
42,128,8.61
42,256,9.29
42,512,9.61
42,1024,11.28
42,2048,14.53
42,4096,20.51
