Processes,Size,Latency
2,2,0.21
2,4,0.21
2,8,0.21
2,16,0.20
2,32,0.23
2,64,0.22
2,128,0.32
2,256,0.33
2,512,0.37
2,1024,0.45
2,2048,0.54
2,4096,0.85
2,8192,1.36
2,16384,3.10
2,32768,5.35
2,65536,7.15
2,131072,10.05
2,262144,15.71
2,524288,29.40
2,1048576,63.92
4,2,0.49
4,4,0.47
4,8,0.45
4,16,0.44
4,32,0.53
4,64,0.55
4,128,0.71
4,256,0.78
4,512,0.83
4,1024,1.04
4,2048,1.43
4,4096,2.21
4,8192,3.81
4,16384,10.20
4,32768,16.88
4,65536,24.06
4,131072,38.67
4,262144,67.92
4,524288,123.51
4,1048576,245.47
6,2,0.79
6,4,0.78
6,8,0.81
6,16,0.79
6,32,0.96
6,64,0.98
6,128,1.24
6,256,1.30
6,512,1.48
6,1024,1.74
6,2048,2.32
6,4096,3.72
6,8192,5.84
6,16384,15.42
6,32768,22.02
6,65536,35.67
6,131072,61.02
6,262144,114.04
6,524288,216.28
6,1048576,435.96
8,2,1.31
8,4,1.31
8,8,1.29
8,16,1.25
8,32,1.46
8,64,1.46
8,128,2.47
8,256,2.09
8,512,2.29
8,1024,2.64
8,2048,3.39
8,4096,5.26
8,8192,8.37
8,16384,21.04
8,32768,29.65
8,65536,47.31
8,131072,82.85
8,262144,150.87
8,524288,290.93
8,1048576,575.53
10,2,1.68
10,4,1.67
10,8,1.62
10,16,1.61
10,32,2.07
10,64,1.95
10,128,2.58
10,256,2.67
10,512,2.85
10,1024,3.36
10,2048,4.43
10,4096,6.71
10,8192,10.47
10,16384,26.16
10,32768,38.10
10,65536,59.73
10,131072,103.49
10,262144,188.79
10,524288,365.80
10,1048576,721.65
12,2,1.93
12,4,1.89
12,8,1.90
12,16,2.30
12,32,2.33
12,64,2.21
12,128,2.96
12,256,3.13
12,512,3.36
12,1024,3.99
12,2048,5.22
12,4096,8.06
12,8192,12.47
12,16384,31.28
12,32768,45.52
12,65536,72.49
12,131072,124.58
12,262144,230.64
12,524288,443.35
12,1048576,897.94
14,2,2.06
14,4,2.04
14,8,2.63
14,16,2.03
14,32,2.57
14,64,2.51
14,128,3.44
14,256,3.58
14,512,3.86
14,1024,4.61
14,2048,6.10
14,4096,9.66
14,8192,14.91
14,16384,37.10
14,32768,53.32
14,65536,86.17
14,131072,153.06
14,262144,296.49
14,524288,545.00
14,1048576,1098.60
16,2,3.09
16,4,3.08
16,8,3.27
16,16,3.10
16,32,3.71
16,64,3.65
16,128,4.73
16,256,4.84
16,512,5.15
16,1024,5.94
16,2048,7.70
16,4096,11.65
16,8192,17.54
16,16384,44.39
16,32768,63.91
16,65536,99.87
16,131072,179.62
16,262144,336.87
16,524288,636.84
16,1048576,1280.90
18,2,3.84
18,4,4.45
18,8,3.88
18,16,3.85
18,32,4.47
18,64,4.45
18,128,5.69
18,256,5.83
18,512,6.14
18,1024,7.23
18,2048,9.29
18,4096,13.90
18,8192,20.91
18,16384,49.51
18,32768,71.71
18,65536,114.54
18,131072,202.88
18,262144,375.93
18,524288,705.38
18,1048576,1449.74
20,2,4.29
20,4,4.58
20,8,4.30
20,16,4.38
20,32,5.11
20,64,5.15
20,128,6.47
20,256,6.59
20,512,7.03
20,1024,8.24
20,2048,10.40
20,4096,15.37
20,8192,23.56
20,16384,54.42
20,32768,78.81
20,65536,125.59
20,131072,223.26
20,262144,410.68
20,524288,774.87
20,1048576,1554.52
22,2,5.31
22,4,4.84
22,8,4.80
22,16,4.88
22,32,5.70
22,64,5.60
22,128,7.07
22,256,7.25
22,512,7.82
22,1024,9.11
22,2048,11.53
22,4096,17.03
22,8192,25.71
22,16384,60.29
22,32768,86.77
22,65536,137.77
22,131072,242.20
22,262144,445.46
22,524288,841.29
22,1048576,1697.63
24,2,6.20
24,4,5.38
24,8,5.37
24,16,5.48
24,32,6.35
24,64,6.39
24,128,7.88
24,256,8.26
24,512,8.62
24,1024,10.21
24,2048,12.90
24,4096,18.96
24,8192,28.49
24,16384,67.02
24,32768,96.17
24,65536,150.72
24,131072,269.93
24,262144,488.95
24,524288,933.24
24,1048576,1898.72
26,2,5.34
26,4,5.35
26,8,5.16
26,16,5.21
26,32,6.48
26,64,6.45
26,128,8.09
26,256,8.42
26,512,8.86
26,1024,10.62
26,2048,13.49
26,4096,20.36
26,8192,30.36
26,16384,70.84
26,32768,101.77
26,65536,163.18
26,131072,289.48
26,262144,551.11
26,524288,1002.42
26,1048576,2131.51
28,2,5.68
28,4,5.69
28,8,5.62
28,16,5.62
28,32,6.97
28,64,6.95
28,128,8.77
28,256,8.95
28,512,9.66
28,1024,11.48
28,2048,15.12
28,4096,21.65
28,8192,33.02
28,16384,76.50
28,32768,109.80
28,65536,176.15
28,131072,311.11
28,262144,560.88
28,524288,1069.97
28,1048576,2149.04
30,2,6.18
30,4,6.27
30,8,6.03
30,16,6.14
30,32,7.63
30,64,7.59
30,128,9.28
30,256,9.81
30,512,10.20
30,1024,12.44
30,2048,15.93
30,4096,23.26
30,8192,35.43
30,16384,81.90
30,32768,117.83
30,65536,188.22
30,131072,329.19
30,262144,601.60
30,524288,1147.95
30,1048576,2303.46
32,2,7.24
32,4,7.19
32,8,7.22
32,16,7.20
32,32,8.52
32,64,8.29
32,128,10.86
32,256,11.15
32,512,12.03
32,1024,13.94
32,2048,17.61
32,4096,25.55
32,8192,38.75
32,16384,88.82
32,32768,127.49
32,65536,203.94
32,131072,357.75
32,262144,649.19
32,524288,1233.09
32,1048576,2509.55
34,2,8.44
34,4,8.51
34,8,8.44
34,16,8.48
34,32,9.56
34,64,9.58
34,128,11.92
34,256,12.53
34,512,13.02
34,1024,15.17
34,2048,18.81
34,4096,27.15
34,8192,40.79
34,16384,93.09
34,32768,133.83
34,65536,214.83
34,131072,377.06
34,262144,688.90
34,524288,1308.47
34,1048576,2640.84
36,2,8.26
36,4,8.28
36,8,8.22
36,16,8.32
36,32,9.40
36,64,9.52
36,128,12.24
36,256,12.60
36,512,13.32
36,1024,15.69
36,2048,19.50
36,4096,28.61
36,8192,43.49
36,16384,98.39
36,32768,141.49
36,65536,227.15
36,131072,395.29
36,262144,729.34
36,524288,1384.36
36,1048576,2805.53
38,2,8.11
38,4,8.11
38,8,8.06
38,16,8.05
38,32,9.43
38,64,9.52
38,128,12.65
38,256,13.14
38,512,14.22
38,1024,16.59
38,2048,20.66
38,4096,30.45
38,8192,45.41
38,16384,104.63
38,32768,149.17
38,65536,239.74
38,131072,416.17
38,262144,770.73
38,524288,1469.62
38,1048576,2969.02
40,2,8.32
40,4,8.41
40,8,8.45
40,16,8.28
40,32,10.07
40,64,9.89
40,128,13.29
40,256,13.86
40,512,14.98
40,1024,17.84
40,2048,21.74
40,4096,32.04
40,8192,47.94
40,16384,109.56
40,32768,156.39
40,65536,249.70
40,131072,438.05
40,262144,808.89
40,524288,1546.71
