Processes,Size,Latency
2,2,1.02
2,4,1.01
2,8,1.03
2,16,1.04
2,32,1.08
2,64,1.28
2,128,1.13
2,256,1.24
2,512,1.29
2,1024,1.43
2,2048,1.98
2,4096,3.16
2,8192,3.86
2,16384,5.46
2,32768,9.07
2,65536,12.14
2,131072,21.37
2,262144,32.18
2,524288,53.45
2,1048576,95.98
4,2,1.35
4,4,1.37
4,8,1.33
4,16,1.32
4,32,1.44
4,64,1.72
4,128,1.67
4,256,2.05
4,512,2.23
4,1024,2.62
4,2048,3.69
4,4096,5.14
4,8192,7.24
4,16384,10.39
4,32768,14.84
4,65536,22.65
4,131072,46.46
4,262144,72.82
4,524288,120.83
4,1048576,217.46
6,2,2.46
6,4,2.46
6,8,2.69
6,16,2.45
6,32,2.54
6,64,3.01
6,128,3.09
6,256,3.72
6,512,4.08
6,1024,4.63
6,2048,6.52
6,4096,8.94
6,8192,12.39
6,16384,17.18
6,32768,24.03
6,65536,36.51
6,131072,58.45
6,262144,107.91
6,524288,183.03
6,1048576,324.92
8,2,4.67
8,4,4.85
8,8,4.72
8,16,4.68
8,32,4.82
8,64,6.12
8,128,5.68
8,256,6.71
8,512,7.19
8,1024,8.12
8,2048,10.43
8,4096,13.91
8,8192,18.69
8,16384,25.24
8,32768,34.73
8,65536,51.70
8,131072,81.85
8,262144,142.03
8,524288,238.23
8,1048576,425.43
10,2,5.96
10,4,5.73
10,8,5.74
10,16,5.72
10,32,5.86
10,64,7.44
10,128,6.95
10,256,8.33
10,512,8.83
10,1024,9.84
10,2048,13.08
10,4096,17.51
10,8192,23.79
10,16384,31.92
10,32768,43.43
10,65536,65.35
10,131072,103.36
10,262144,174.91
10,524288,302.07
10,1048576,526.84
12,2,7.14
12,4,7.18
12,8,7.10
12,16,7.24
12,32,7.38
12,64,9.20
12,128,8.61
12,256,10.08
12,512,10.95
12,1024,12.09
12,2048,16.23
12,4096,21.63
12,8192,29.14
12,16384,39.27
12,32768,53.68
12,65536,79.61
12,131072,125.89
12,262144,208.62
12,524288,351.69
12,1048576,626.23
14,2,7.82
14,4,7.87
14,8,7.81
14,16,7.92
14,32,8.19
14,64,10.38
14,128,9.67
14,256,11.44
14,512,12.29
14,1024,13.79
14,2048,18.99
14,4096,25.23
14,8192,34.08
14,16384,45.50
14,32768,62.64
14,65536,93.37
14,131072,147.92
14,262144,241.62
14,524288,405.96
14,1048576,722.19
16,2,9.16
16,4,9.20
16,8,9.17
16,16,9.24
16,32,9.73
16,64,12.24
16,128,11.14
16,256,13.23
16,512,14.31
16,1024,15.95
16,2048,21.68
16,4096,29.19
16,8192,39.10
16,16384,52.88
16,32768,70.89
16,65536,105.42
16,131072,164.59
16,262144,274.56
16,524288,472.67
16,1048576,821.38
18,2,10.22
18,4,10.18
18,8,10.19
18,16,10.24
18,32,10.50
18,64,13.63
18,128,12.45
18,256,15.11
18,512,16.03
18,1024,17.87
18,2048,24.38
18,4096,32.36
18,8192,43.75
18,16384,59.57
18,32768,80.58
18,65536,121.33
18,131072,203.40
18,262144,307.59
18,524288,517.14
18,1048576,922.65
20,2,11.60
20,4,11.79
20,8,11.80
20,16,11.79
20,32,12.06
20,64,15.57
20,128,14.33
20,256,17.14
20,512,18.22
20,1024,20.27
20,2048,27.72
20,4096,36.67
20,8192,49.93
20,16384,67.04
20,32768,90.25
20,65536,135.42
20,131072,222.90
20,262144,341.62
20,524288,580.84
20,1048576,1023.67
22,2,12.44
22,4,12.55
22,8,12.48
22,16,12.53
22,32,12.90
22,64,16.63
22,128,15.44
22,256,18.20
22,512,19.68
22,1024,22.10
22,2048,30.44
22,4096,40.37
22,8192,55.12
22,16384,73.69
22,32768,99.79
22,65536,149.41
22,131072,242.16
22,262144,374.63
22,524288,642.03
22,1048576,1120.04
24,2,13.89
24,4,13.91
24,8,14.16
24,16,13.94
24,32,14.33
24,64,18.76
24,128,17.19
24,256,20.25
24,512,21.87
24,1024,24.37
24,2048,33.44
24,4096,44.59
24,8192,61.22
24,16384,81.29
24,32768,108.92
24,65536,163.94
24,131072,265.33
24,262144,408.37
24,524288,688.86
24,1048576,1221.01
26,2,14.57
26,4,14.63
26,8,14.59
26,16,14.76
26,32,15.15
26,64,19.36
26,128,18.12
26,256,21.55
26,512,23.18
26,1024,26.41
26,2048,35.87
26,4096,48.13
26,8192,66.12
26,16384,87.12
26,32768,118.42
26,65536,177.33
26,131072,283.77
26,262144,440.19
26,524288,750.76
26,1048576,1319.50
28,2,15.97
28,4,16.23
28,8,16.05
28,16,16.18
28,32,16.99
28,64,21.13
28,128,19.89
28,256,23.70
28,512,25.33
28,1024,28.33
28,2048,39.40
28,4096,52.58
28,8192,71.89
28,16384,94.60
28,32768,128.06
28,65536,188.68
28,131072,301.05
28,262144,474.81
28,524288,805.06
28,1048576,1420.75
30,2,17.02
30,4,17.49
30,8,17.04
30,16,17.13
30,32,18.08
30,64,22.35
30,128,21.20
30,256,25.08
30,512,27.42
30,1024,30.50
30,2048,42.09
30,4096,56.21
30,8192,77.22
30,16384,101.54
30,32768,137.40
30,65536,203.52
30,131072,321.42
30,262144,508.35
30,524288,859.10
30,1048576,1520.15
32,2,18.41
32,4,18.79
32,8,18.44
32,16,18.43
32,32,19.16
32,64,24.92
32,128,25.90
32,256,30.33
32,512,32.32
32,1024,36.08
32,2048,48.10
32,4096,63.69
32,8192,86.04
32,16384,108.06
32,32768,145.93
32,65536,216.20
32,131072,336.19
32,262144,542.57
32,524288,917.80
32,1048576,1621.66
34,2,19.39
34,4,19.52
34,8,19.40
34,16,19.45
34,32,20.19
34,64,26.25
34,128,27.43
34,256,32.00
34,512,34.10
34,1024,37.60
34,2048,50.87
34,4096,66.34
34,8192,90.31
34,16384,114.27
34,32768,155.39
34,65536,233.81
34,131072,358.20
34,262144,575.03
34,524288,981.93
34,1048576,1718.53
36,2,20.97
36,4,21.08
36,8,21.02
36,16,21.09
36,32,21.63
36,64,28.10
36,128,29.25
36,256,34.54
36,512,36.68
36,1024,40.41
36,2048,54.75
36,4096,71.18
36,8192,96.61
36,16384,123.35
36,32768,166.01
36,65536,248.14
36,131072,349.41
36,262144,607.62
36,524288,1032.07
36,1048576,1818.32
38,2,21.78
38,4,21.86
38,8,21.81
38,16,22.02
38,32,22.68
38,64,29.70
38,128,30.65
38,256,35.92
38,512,38.34
38,1024,42.48
38,2048,57.28
38,4096,76.05
38,8192,103.58
