Processes,Size,Latency
40,2,8.38
40,4,8.35
40,8,8.41
40,16,8.62
40,32,9.93
40,64,9.80
40,128,13.09
40,256,13.43
40,512,14.67
40,1024,17.21
40,2048,21.15
40,4096,30.83
40,8192,47.07
40,16384,107.34
40,32768,151.30
40,65536,241.13
40,131072,421.16
40,262144,796.69
40,524288,1475.71
40,1048576,2989.34
42,2,8.68
42,4,8.77
42,8,8.64
42,16,8.57
42,32,10.61
42,64,10.12
42,128,13.58
42,256,13.90
42,512,14.53
42,1024,17.52
42,2048,22.15
42,4096,32.58
42,8192,49.30
42,16384,112.39
42,32768,160.32
42,65536,253.71
42,131072,446.99
42,262144,811.31
42,524288,1552.67
42,1048576,3124.47
44,2,8.98
44,4,9.05
44,8,8.96
44,16,8.94
44,32,10.86
44,64,10.60
44,128,14.14
44,256,14.61
44,512,15.24
44,1024,18.35
44,2048,23.21
44,4096,34.17
44,8192,51.43
44,16384,118.63
44,32768,168.46
44,65536,266.53
44,131072,465.28
44,262144,849.51
44,524288,1627.71
44,1048576,3276.77
46,2,9.59
46,4,9.54
46,8,9.48
46,16,9.76
46,32,11.29
46,64,11.07
46,128,14.83
46,256,15.74
46,512,16.34
46,1024,19.18
46,2048,24.70
46,4096,36.04
46,8192,54.51
46,16384,123.85
46,32768,175.45
46,65536,277.18
46,131072,482.20
46,262144,885.04
46,524288,1694.64
46,1048576,3411.88
48,2,9.83
48,4,9.82
48,8,9.80
48,16,9.82
48,32,11.63
48,64,11.65
48,128,15.47
48,256,16.53
48,512,16.91
48,1024,20.11
48,2048,25.54
48,4096,37.55
48,8192,56.93
48,16384,129.42
48,32768,184.03
48,65536,290.37
48,131072,503.33
48,262144,921.43
48,524288,1758.26
48,1048576,3558.41
