Processes,Size,Latency
38,2,22.06
38,4,21.87
38,8,21.89
38,16,22.18
38,32,22.67
38,64,29.97
38,128,30.84
38,256,35.81
38,512,38.30
38,1024,42.74
38,2048,57.20
38,4096,76.16
38,8192,103.49
38,16384,130.92
38,32768,176.32
38,65536,259.90
38,131072,368.16
38,262144,641.37
38,524288,1090.92
38,1048576,1918.83
40,2,23.43
40,4,23.30
40,8,23.87
40,16,23.56
40,32,24.14
40,64,31.46
40,128,32.40
40,256,38.68
40,512,40.63
40,1024,45.00
40,2048,60.82
40,4096,80.45
40,8192,109.60
40,16384,137.15
40,32768,185.32
40,65536,273.62
40,131072,386.56
40,262144,674.92
40,524288,1147.36
40,1048576,2018.20
42,2,24.39
42,4,24.16
42,8,24.94
42,16,24.31
42,32,25.09
42,64,32.47
42,128,33.43
42,256,40.08
42,512,42.19
42,1024,46.75
42,2048,63.25
42,4096,85.16
42,8192,114.16
42,16384,145.43
42,32768,197.29
42,65536,288.93
42,131072,405.55
42,262144,709.21
42,524288,1205.56
42,1048576,2118.59
44,2,25.67
44,4,25.59
44,8,25.87
44,16,25.58
44,32,27.25
44,64,34.24
44,128,35.39
44,256,41.54
44,512,44.89
44,1024,50.39
44,2048,66.56
44,4096,89.81
44,8192,121.13
44,16384,152.55
44,32768,205.69
44,65536,304.09
44,131072,422.70
44,262144,743.19
44,524288,1261.48
44,1048576,2218.17
46,2,26.57
46,4,26.84
46,8,26.86
46,16,26.87
46,32,27.94
46,64,35.97
46,128,38.20
46,256,43.92
46,512,47.30
46,1024,51.74
46,2048,69.94
46,4096,94.14
46,8192,127.76
46,16384,161.56
46,32768,218.28
46,65536,322.63
46,131072,442.77
46,262144,778.37
46,524288,1324.34
46,1048576,2319.19
48,2,28.29
48,4,29.15
48,8,28.35
48,16,29.27
48,32,29.70
48,64,38.63
48,128,39.87
48,256,46.87
48,512,51.08
48,1024,55.30
48,2048,76.24
48,4096,97.96
48,8192,137.00
48,16384,170.63
48,32768,231.08
48,65536,341.89
48,131072,463.16
48,262144,815.05
48,524288,1384.67
48,1048576,2433.75
