Processes,Size,Latency
30,2,7.50
30,4,7.45
30,8,7.39
30,16,7.52
30,32,12.20
30,64,10.48
30,128,18.20
30,256,18.68
30,512,20.55
30,1024,25.03
30,2048,32.03
30,4096,43.75
30,8192,68.33
30,16384,123.18
30,32768,203.17
30,65536,334.02
30,131072,631.46
30,262144,1216.34
30,524288,2347.69
30,1048576,4643.86
32,2,9.19
32,4,9.28
32,8,9.18
32,16,9.23
32,32,14.31
32,64,12.59
32,128,20.64
32,256,21.44
32,512,23.12
32,1024,27.50
32,2048,35.73
32,4096,48.24
32,8192,75.77
32,16384,137.01
32,32768,211.75
32,65536,362.89
32,131072,689.80
32,262144,1286.13
32,524288,2545.65
32,1048576,4993.47
34,2,11.23
34,4,11.14
34,8,11.08
34,16,11.10
34,32,15.43
34,64,14.87
34,128,24.34
34,256,24.76
34,512,25.73
34,1024,30.51
34,2048,39.08
34,4096,52.47
34,8192,79.79
34,16384,146.60
34,32768,228.20
34,65536,385.23
34,131072,721.96
34,262144,1378.12
34,524288,2745.78
34,1048576,5194.68
36,2,11.51
36,4,11.55
36,8,11.52
36,16,11.58
36,32,16.21
36,64,15.29
36,128,25.58
36,256,25.14
36,512,27.21
36,1024,32.21
36,2048,41.21
36,4096,55.61
36,8192,85.93
36,16384,153.89
36,32768,241.76
36,65536,404.35
36,131072,758.67
36,262144,1477.55
36,524288,2881.15
36,1048576,5503.55
38,2,11.78
38,4,11.85
38,8,11.79
38,16,12.24
38,32,16.57
38,64,15.54
38,128,26.16
38,256,25.98
38,512,28.27
38,1024,34.29
38,2048,43.19
38,4096,58.25
38,8192,89.46
38,16384,160.33
38,32768,252.85
38,65536,426.84
38,131072,795.33
38,262144,1518.62
38,524288,2991.19
38,1048576,5778.13
40,2,12.30
40,4,12.30
40,8,12.24
40,16,12.33
40,32,17.05
40,64,16.01
40,128,27.13
40,256,27.19
40,512,29.71
40,1024,35.49
40,2048,44.77
40,4096,61.04
40,8192,94.23
40,16384,168.91
40,32768,270.04
40,65536,448.48
40,131072,838.66
40,262144,1596.53
40,524288,3146.88
40,1048576,6026.25
42,2,12.55
42,4,12.42
42,8,12.39
42,16,12.46
42,32,17.48
42,64,16.66
42,128,28.48
42,256,29.31
42,512,30.67
42,1024,36.81
42,2048,46.64
42,4096,63.31
42,8192,98.26
42,16384,177.42
42,32768,275.64
42,65536,471.79
42,131072,868.19
42,262144,1657.25
42,524288,3271.69
