Processes,Size,Latency
42,2,12.58
42,4,12.71
42,8,12.47
42,16,12.64
42,32,18.17
42,64,16.83
42,128,28.22
42,256,28.55
42,512,30.58
42,1024,36.45
42,2048,47.02
42,4096,64.13
42,8192,98.44
42,16384,179.61
42,32768,289.58
42,65536,484.18
42,131072,901.17
42,262144,1727.97
42,524288,3392.45
42,1048576,6580.30
44,2,13.09
44,4,13.11
44,8,13.04
44,16,13.07
44,32,19.21
44,64,17.61
44,128,29.87
44,256,30.14
44,512,32.98
44,1024,39.31
44,2048,49.89
44,4096,67.67
44,8192,103.74
44,16384,189.26
44,32768,298.11
44,65536,529.50
44,131072,942.32
44,262144,1815.52
44,524288,3534.94
44,1048576,6818.66
46,2,13.47
46,4,13.49
46,8,13.99
46,16,13.56
46,32,19.42
46,64,18.81
46,128,31.09
46,256,32.06
46,512,34.22
46,1024,40.59
46,2048,51.87
46,4096,70.19
46,8192,109.23
46,16384,196.32
46,32768,313.31
46,65536,529.44
46,131072,981.84
46,262144,1895.11
46,524288,3642.71
46,1048576,7107.68
48,2,13.88
48,4,13.84
48,8,14.32
48,16,13.90
48,32,20.33
48,64,19.01
48,128,32.28
48,256,33.67
48,512,35.47
48,1024,42.81
48,2048,54.36
48,4096,73.59
48,8192,114.07
48,16384,207.02
48,32768,332.48
48,65536,561.31
48,131072,1028.89
48,262144,1973.66
48,524288,3778.70
48,1048576,7395.89
