Processes,Size,Latency
2,2,0.20
2,4,0.20
2,8,0.20
2,16,0.20
2,32,0.25
2,64,0.26
2,128,0.32
2,256,0.33
2,512,0.37
2,1024,0.43
2,2048,0.58
2,4096,0.89
2,8192,1.63
2,16384,2.94
2,32768,5.39
2,65536,10.56
2,131072,14.38
2,262144,24.80
2,524288,48.31
2,1048576,117.34
4,2,0.33
4,4,0.33
4,8,0.36
4,16,0.39
4,32,0.41
4,64,0.49
4,128,0.56
4,256,0.63
4,512,0.80
4,1024,1.06
4,2048,1.07
4,4096,2.60
4,8192,3.16
4,16384,5.64
4,32768,8.38
4,65536,14.48
4,131072,26.38
4,262144,53.33
4,524288,114.95
4,1048576,221.59
6,2,0.48
6,4,0.50
6,8,0.48
6,16,0.52
6,32,0.57
6,64,0.69
6,128,0.82
6,256,0.87
6,512,1.10
6,1024,1.44
6,2048,1.60
6,4096,3.55
6,8192,4.07
6,16384,7.48
6,32768,11.33
6,65536,14.77
6,131072,43.15
6,262144,55.46
6,524288,136.65
6,1048576,351.41
8,2,0.73
8,4,0.73
8,8,0.76
8,16,0.78
8,32,0.96
8,64,1.04
8,128,1.22
8,256,1.34
8,512,1.63
8,1024,2.26
8,2048,3.56
8,4096,5.29
8,8192,8.90
8,16384,7.02
8,32768,13.49
8,65536,27.53
8,131072,56.26
8,262144,77.18
8,524288,153.11
8,1048576,465.76
10,2,0.94
10,4,1.00
10,8,1.02
10,16,1.06
10,32,1.14
10,64,1.41
10,128,1.60
10,256,1.63
10,512,2.14
10,1024,2.74
10,2048,3.90
10,4096,5.88
10,8192,9.46
10,16384,9.07
10,32768,15.68
10,65536,33.70
10,131072,42.80
10,262144,86.72
10,524288,149.13
10,1048576,597.14
12,2,0.82
12,4,0.85
12,8,0.93
12,16,0.98
12,32,1.19
12,64,1.25
12,128,1.46
12,256,1.89
12,512,2.15
12,1024,3.06
12,2048,4.36
12,4096,6.85
12,8192,11.21
12,16384,10.34
12,32768,18.12
12,65536,38.25
12,131072,76.68
12,262144,109.11
12,524288,139.88
12,1048576,794.53
14,2,0.83
14,4,0.82
14,8,0.82
14,16,0.95
14,32,1.14
14,64,1.34
14,128,1.54
14,256,1.76
14,512,2.30
14,1024,3.37
14,2048,5.42
14,4096,8.54
14,8192,14.56
14,16384,12.10
14,32768,24.80
14,65536,53.34
14,131072,103.28
14,262144,137.74
14,524288,214.30
14,1048576,880.10
16,2,1.35
16,4,1.39
16,8,1.38
16,16,1.55
16,32,2.15
16,64,2.31
16,128,2.40
16,256,2.87
16,512,3.51
16,1024,5.14
16,2048,7.59
16,4096,12.35
16,8192,20.22
16,16384,21.80
16,32768,29.94
16,65536,65.08
16,131072,102.40
16,262144,150.56
16,524288,170.34
16,1048576,284.89
18,2,2.43
18,4,2.52
18,8,2.51
18,16,3.27
18,32,3.15
18,64,3.55
18,128,3.84
18,256,4.29
18,512,5.35
18,1024,6.98
18,2048,10.06
18,4096,14.80
18,8192,24.45
18,16384,26.20
18,32768,33.60
18,65536,57.56
18,131072,78.53
18,262144,120.89
18,524288,198.98
18,1048576,277.11
20,2,2.32
20,4,2.25
20,8,2.38
20,16,2.60
20,32,3.23
20,64,3.41
20,128,3.66
20,256,4.42
20,512,5.43
20,1024,7.13
20,2048,10.32
20,4096,16.42
20,8192,28.59
20,16384,32.04
20,32768,37.79
20,65536,86.68
20,131072,97.43
20,262144,140.24
20,524288,175.85
20,1048576,274.35
22,2,2.07
22,4,2.15
22,8,2.41
22,16,2.67
22,32,3.12
22,64,3.25
22,128,3.82
22,256,4.37
22,512,5.46
22,1024,7.73
22,2048,11.80
22,4096,18.70
22,8192,33.23
22,16384,36.11
22,32768,29.66
22,65536,96.06
22,131072,109.88
22,262144,148.86
22,524288,161.13
22,1048576,296.00
24,2,1.91
24,4,2.03
24,8,2.55
24,16,2.55
24,32,2.94
24,64,3.12
24,128,3.68
24,256,4.30
24,512,5.85
24,1024,8.28
24,2048,12.70
24,4096,21.42
24,8192,38.41
24,16384,41.47
24,32768,45.36
24,65536,65.09
24,131072,128.17
24,262144,156.62
24,524288,219.26
24,1048576,317.41
26,2,1.80
26,4,1.88
26,8,1.94
26,16,2.24
26,32,2.73
26,64,2.89
26,128,3.50
26,256,4.15
26,512,5.88
26,1024,8.99
26,2048,14.31
26,4096,23.62
26,8192,42.94
26,16384,45.43
26,32768,40.92
26,65536,54.19
26,131072,111.13
26,262144,198.67
26,524288,214.24
26,1048576,291.15
28,2,1.65
28,4,1.69
28,8,2.08
28,16,2.17
28,32,2.53
28,64,2.92
28,128,3.43
28,256,4.29
28,512,6.02
28,1024,9.44
28,2048,15.29
28,4096,26.37
28,8192,48.18
28,16384,49.66
28,32768,43.50
28,65536,58.91
28,131072,107.95
28,262144,189.48
28,524288,212.68
28,1048576,340.49
30,2,1.57
30,4,1.95
30,8,1.89
30,16,2.07
30,32,2.38
30,64,2.98
30,128,3.62
30,256,4.52
30,512,6.49
30,1024,9.82
30,2048,16.83
30,4096,29.37
30,8192,53.69
30,16384,53.08
30,32768,40.39
30,65536,50.69
30,131072,117.81
30,262144,149.34
30,524288,194.98
30,1048576,382.88
32,2,2.07
32,4,2.14
32,8,2.93
32,16,2.77
32,32,3.37
32,64,3.89
32,128,4.65
32,256,5.91
32,512,9.10
32,1024,11.65
32,2048,14.67
32,4096,20.09
32,8192,60.97
32,16384,17.61
32,32768,29.98
32,65536,65.45
32,131072,116.27
32,262144,151.24
32,524288,228.32
32,1048576,451.72
34,2,4.10
34,4,4.25
34,8,4.69
34,16,4.82
34,32,5.47
34,64,5.97
34,128,6.80
34,256,8.13
34,512,10.34
34,1024,12.94
34,2048,16.04
34,4096,21.61
34,8192,60.94
34,16384,22.09
34,32768,42.52
34,65536,70.44
34,131072,108.64
34,262144,176.66
34,524288,266.46
34,1048576,513.67
36,2,3.93
36,4,4.18
36,8,4.39
36,16,4.66
36,32,5.16
36,64,5.97
36,128,6.59
36,256,7.89
36,512,10.58
36,1024,13.45
36,2048,16.39
36,4096,22.37
36,8192,58.02
36,16384,22.17
36,32768,43.54
36,65536,57.43
36,131072,117.76
36,262144,194.53
36,524288,337.23
36,1048576,593.96
38,2,3.71
38,4,3.73
38,8,4.32
38,16,4.39
38,32,4.98
38,64,5.73
38,128,6.49
38,256,7.65
38,512,10.33
38,1024,13.31
38,2048,16.74
38,4096,23.68
38,8192,58.66
38,16384,23.10
38,32768,34.52
38,65536,63.98
38,131072,136.05
38,262144,213.01
38,524288,371.78
38,1048576,699.22
40,2,3.48
40,4,3.48
40,8,3.96
40,16,4.10
40,32,4.72
40,64,5.39
40,128,6.17
40,256,7.43
40,512,10.46
40,1024,13.55
40,2048,17.30
40,4096,23.91
40,8192,58.65
40,16384,23.83
40,32768,40.54
40,65536,82.29
40,131072,147.61
40,262144,235.97
40,524288,425.25
40,1048576,805.78
42,2,3.33
42,4,3.23
42,8,3.77
42,16,3.96
42,32,4.60
42,64,5.20
42,128,5.94
42,256,7.23
42,512,10.88
42,1024,14.06
42,2048,17.90
42,4096,24.89
42,8192,59.79
42,16384,23.86
42,32768,44.09
42,65536,69.18
42,131072,149.22
42,262144,263.04
42,524288,450.97
42,1048576,909.96
44,2,3.38
44,4,3.08
44,8,3.58
44,16,3.83
44,32,4.43
44,64,5.14
44,128,5.96
44,256,7.16
44,512,11.08
44,1024,14.32
44,2048,18.57
44,4096,25.78
44,8192,59.91
44,16384,24.78
44,32768,45.85
44,65536,74.66
44,131072,173.39
44,262144,279.13
44,524288,516.46
44,1048576,1016.03
46,2,3.08
46,4,3.14
46,8,3.48
46,16,3.72
46,32,4.31
46,64,4.94
46,128,5.77
