Processes,Size,Latency
46,2,5.25
46,4,5.21
46,8,5.24
46,16,5.22
46,32,5.55
46,64,5.65
46,128,10.30
46,256,10.75
46,512,12.12
46,1024,15.53
46,2048,19.95
46,4096,27.38
46,8192,42.23
46,16384,78.96
46,32768,159.58
46,65536,327.31
46,131072,704.29
46,262144,518.42
46,524288,1029.80
46,1048576,2901.75
48,2,5.20
48,4,5.32
48,8,5.36
48,16,5.21
48,32,5.58
48,64,5.71
48,128,10.39
48,256,10.92
48,512,12.53
48,1024,15.83
48,2048,20.41
48,4096,28.27
48,8192,43.62
48,16384,81.16
48,32768,167.69
48,65536,339.72
48,131072,735.16
48,262144,546.48
48,524288,1086.92
48,1048576,3019.47
