Processes,Size,Latency
2,2,0.40
2,4,0.37
2,8,0.36
2,16,0.37
2,32,0.46
2,64,0.49
2,128,0.78
2,256,0.80
2,512,0.90
2,1024,1.01
2,2048,1.42
2,4096,2.03
2,8192,3.66
2,16384,6.77
2,32768,12.53
2,65536,23.91
2,131072,46.65
2,262144,25.95
2,524288,48.80
2,1048576,119.67
4,2,0.35
4,4,0.41
4,8,0.40
4,16,0.34
4,32,0.59
4,64,0.56
4,128,1.06
4,256,1.14
4,512,1.30
4,1024,1.61
4,2048,2.60
4,4096,3.84
4,8192,6.17
4,16384,10.92
4,32768,20.65
4,65536,39.75
4,131072,80.55
4,262144,52.38
4,524288,102.58
4,1048576,227.65
6,2,0.63
6,4,0.67
6,8,0.64
6,16,0.64
6,32,0.71
6,64,0.69
6,128,1.60
6,256,1.71
6,512,2.01
6,1024,2.39
6,2048,3.54
6,4096,5.30
6,8192,8.31
6,16384,15.50
6,32768,28.29
6,65536,54.11
6,131072,106.92
6,262144,71.60
6,524288,149.41
6,1048576,359.27
8,2,1.15
8,4,1.16
8,8,1.17
8,16,1.14
8,32,1.30
8,64,1.27
8,128,2.62
8,256,2.57
8,512,2.83
8,1024,3.69
8,2048,4.82
8,4096,7.08
8,8192,10.60
8,16384,19.04
8,32768,36.24
8,65536,71.58
8,131072,138.37
8,262144,94.21
8,524288,185.80
8,1048576,455.08
10,2,1.36
10,4,1.42
10,8,1.38
10,16,1.47
10,32,1.67
10,64,1.67
10,128,3.04
10,256,3.07
10,512,3.58
10,1024,4.74
10,2048,6.00
10,4096,8.29
10,8192,12.70
10,16384,22.80
10,32768,43.94
10,65536,82.41
10,131072,171.10
10,262144,114.60
10,524288,223.88
10,1048576,556.93
12,2,1.52
12,4,1.49
12,8,1.50
12,16,1.47
12,32,1.99
12,64,1.68
12,128,3.27
12,256,3.36
12,512,4.03
12,1024,5.17
12,2048,6.81
12,4096,9.45
12,8192,14.57
12,16384,26.14
12,32768,50.14
12,65536,96.31
12,131072,200.99
12,262144,131.65
12,524288,264.47
12,1048576,654.02
14,2,1.57
14,4,1.46
14,8,1.49
14,16,1.57
14,32,1.78
14,64,1.71
14,128,3.63
14,256,3.75
14,512,4.57
14,1024,5.82
14,2048,7.33
14,4096,10.45
14,8192,16.17
14,16384,30.34
14,32768,57.94
14,65536,113.14
14,131072,224.59
14,262144,148.49
14,524288,296.18
14,1048576,760.15
16,2,1.82
16,4,1.80
16,8,1.80
16,16,1.83
16,32,2.36
16,64,2.00
16,128,4.39
16,256,4.39
16,512,5.00
16,1024,6.63
16,2048,8.61
16,4096,11.90
16,8192,18.33
16,16384,33.65
16,32768,63.84
16,65536,127.09
16,131072,254.91
16,262144,170.38
16,524288,333.79
16,1048576,873.80
18,2,2.03
18,4,2.18
18,8,2.09
18,16,2.18
18,32,2.33
18,64,2.25
18,128,4.72
18,256,4.88
18,512,5.80
18,1024,7.76
18,2048,9.46
18,4096,13.31
18,8192,20.19
18,16384,37.03
18,32768,73.04
18,65536,140.80
18,131072,287.25
18,262144,182.74
18,524288,370.26
18,1048576,1000.60
20,2,2.23
20,4,2.23
20,8,2.30
20,16,2.24
20,32,2.45
20,64,2.42
20,128,5.08
20,256,5.32
20,512,6.29
20,1024,8.39
20,2048,10.36
20,4096,14.67
20,8192,22.51
20,16384,41.60
20,32768,78.88
20,65536,159.36
20,131072,310.41
20,262144,200.41
20,524288,391.49
20,1048576,1134.37
22,2,2.30
22,4,2.32
22,8,2.43
22,16,2.33
22,32,2.51
22,64,2.44
22,128,5.44
22,256,5.59
22,512,6.74
22,1024,8.86
22,2048,11.08
22,4096,15.35
22,8192,23.63
22,16384,44.51
22,32768,85.39
22,65536,169.58
22,131072,340.71
22,262144,219.13
22,524288,430.96
22,1048576,1328.19
24,2,2.56
24,4,2.81
24,8,2.68
24,16,2.55
24,32,2.80
24,64,2.75
24,128,5.91
24,256,6.02
24,512,6.99
24,1024,9.64
24,2048,12.09
24,4096,16.87
24,8192,26.14
24,16384,48.63
24,32768,91.13
24,65536,186.50
24,131072,368.82
24,262144,240.03
24,524288,478.19
24,1048576,1549.33
26,2,2.28
26,4,2.29
26,8,2.28
26,16,2.31
26,32,2.53
26,64,2.63
26,128,6.02
26,256,6.34
26,512,7.38
26,1024,10.02
26,2048,12.61
26,4096,17.66
26,8192,27.45
26,16384,50.97
26,32768,98.56
26,65536,203.91
26,131072,394.03
26,262144,265.21
26,524288,518.32
26,1048576,1680.80
28,2,2.53
28,4,2.33
28,8,2.30
28,16,2.35
28,32,2.61
28,64,2.52
28,128,6.30
28,256,6.50
28,512,7.68
28,1024,10.43
28,2048,13.17
28,4096,18.65
28,8192,28.95
28,16384,52.98
28,32768,106.30
28,65536,216.16
28,131072,425.65
28,262144,284.46
28,524288,564.95
28,1048576,1787.86
30,2,2.56
30,4,2.36
30,8,2.31
30,16,2.41
30,32,2.66
30,64,2.63
30,128,6.47
30,256,6.71
30,512,7.92
30,1024,10.64
30,2048,13.87
30,4096,19.46
30,8192,30.52
30,16384,57.85
30,32768,110.94
30,65536,225.78
30,131072,446.10
30,262144,313.64
30,524288,615.95
30,1048576,1934.43
32,2,3.38
32,4,3.36
32,8,3.36
32,16,3.50
32,32,3.66
32,64,3.62
32,128,7.60
32,256,8.16
32,512,9.22
32,1024,12.12
32,2048,15.53
32,4096,21.42
32,8192,33.01
32,16384,60.54
32,32768,121.08
32,65536,246.28
32,131072,492.10
32,262144,346.32
32,524288,669.42
32,1048576,2099.52
34,2,5.46
34,4,5.26
34,8,5.18
34,16,5.28
34,32,5.53
34,64,5.45
34,128,9.48
34,256,10.06
34,512,11.30
34,1024,14.22
34,2048,17.46
34,4096,23.67
34,8192,35.75
34,16384,65.03
34,32768,126.53
34,65536,258.91
34,131072,514.76
34,262144,371.85
34,524288,728.85
34,1048576,2198.61
36,2,5.55
36,4,5.22
36,8,5.08
36,16,5.15
36,32,5.42
36,64,5.47
36,128,9.75
36,256,10.14
36,512,11.47
36,1024,14.60
36,2048,18.19
36,4096,25.44
36,8192,37.11
36,16384,67.16
36,32768,135.08
36,65536,274.89
36,131072,532.57
36,262144,395.29
36,524288,778.54
36,1048576,2327.80
38,2,5.26
38,4,5.24
38,8,5.16
38,16,5.08
38,32,5.48
38,64,5.48
38,128,9.85
38,256,10.47
38,512,11.82
38,1024,14.66
38,2048,18.48
38,4096,25.80
38,8192,38.30
38,16384,70.36
38,32768,139.81
38,65536,277.31
38,131072,575.75
38,262144,422.33
38,524288,840.15
38,1048576,2478.89
40,2,5.27
40,4,5.21
40,8,5.21
40,16,5.15
40,32,5.60
40,64,5.45
40,128,10.23
40,256,10.70
40,512,12.07
40,1024,14.99
40,2048,18.98
40,4096,26.04
40,8192,39.62
40,16384,72.58
40,32768,145.94
40,65536,291.01
40,131072,595.71
40,262144,448.64
40,524288,902.53
40,1048576,2581.06
42,2,5.46
42,4,5.17
42,8,5.09
42,16,5.18
42,32,5.45
42,64,5.57
42,128,10.05
42,256,10.59
42,512,11.91
42,1024,15.41
42,2048,19.19
42,4096,26.23
42,8192,39.67
42,16384,73.50
42,32768,150.57
42,65536,303.47
42,131072,614.31
42,262144,473.80
42,524288,952.31
42,1048576,2692.73
44,2,5.16
44,4,5.28
44,8,5.19
44,16,5.13
44,32,5.48
44,64,5.72
44,128,10.04
44,256,10.53
44,512,11.89
44,1024,15.49
44,2048,19.66
44,4096,27.41
44,8192,40.95
44,16384,76.86
44,32768,153.09
44,65536,312.70
44,131072,654.04
44,262144,507.44
44,524288,988.90
44,1048576,2806.70
46,2,5.12
46,4,5.19
46,8,5.20
46,16,5.25
46,32,
46,64,
46,128,
46,256,
46,512,
46,1024,
46,2048,
46,4096,
46,8192,
46,16384,
46,32768,
46,65536,
46,131072,
46,262144,
46,524288,
46,1048576,
48,2,
48,4,
48,8,
48,16,
48,32,
48,64,
48,128,
48,256,
48,512,
48,1024,
48,2048,
48,4096,
48,8192,
48,16384,
48,32768,
48,65536,
48,131072,
48,262144,
48,524288,
48,1048576,
