Processes,Size,Latency
40,2,3.58
40,4,3.44
40,8,3.95
40,16,4.11
40,32,4.76
40,64,5.38
40,128,6.19
40,256,7.43
40,512,9.83
40,1024,13.97
40,2048,21.25
40,4096,33.88
40,8192,58.29
40,16384,57.05
40,32768,126.81
40,65536,257.90
40,131072,535.77
40,262144,1120.40
40,524288,2820.28
40,1048576,7125.90
42,2,3.39
42,4,3.19
42,8,3.76
42,16,3.90
42,32,4.61
42,64,5.16
42,128,5.97
42,256,7.27
42,512,9.97
42,1024,13.99
42,2048,21.00
42,4096,34.01
42,8192,59.47
42,16384,60.61
42,32768,133.47
42,65536,270.88
42,131072,541.16
42,262144,1138.76
42,524288,2875.38
42,1048576,7178.25
44,2,2.97
44,4,3.10
44,8,3.62
44,16,3.71
44,32,4.38
44,64,5.04
44,128,5.92
44,256,7.21
44,512,9.72
44,1024,14.11
44,2048,21.54
44,4096,34.14
44,8192,60.77
44,16384,65.80
44,32768,144.49
44,65536,275.53
44,131072,562.87
44,262144,1171.47
44,524288,2919.89
44,1048576,7374.48
46,2,2.99
46,4,3.04
46,8,3.53
46,16,3.72
46,32,4.39
46,64,4.97
46,128,5.77
46,256,7.13
46,512,9.75
46,1024,13.92
46,2048,21.87
46,4096,35.55
46,8192,62.13
46,16384,69.22
46,32768,151.18
46,65536,288.71
46,131072,589.99
46,262144,1240.38
46,524288,3010.63
46,1048576,7577.61
48,2,3.41
48,4,3.11
48,8,3.47
48,16,3.85
48,32,4.30
48,64,4.89
48,128,5.68
48,256,7.11
48,512,9.77
48,1024,14.27
48,2048,22.55
48,4096,36.49
48,8192,64.09
48,16384,88.88
48,32768,153.39
48,65536,320.32
48,131072,642.69
48,262144,1319.48
48,524288,3117.65
48,1048576,8023.57
