Processes,Size,Latency
36,2,2.69
36,4,3.13
36,8,2.89
36,16,3.09
36,32,3.36
36,64,4.17
36,128,4.42
36,256,5.67
36,512,7.18
36,1024,9.46
36,2048,13.97
36,4096,22.49
36,8192,38.66
36,16384,62.52
36,32768,127.90
36,65536,264.73
36,131072,694.60
36,262144,1731.09
36,524288,4312.72
36,1048576,9523.29
38,2,2.64
38,4,3.43
38,8,2.81
38,16,3.09
38,32,3.23
38,64,4.00
38,128,4.35
38,256,5.37
38,512,6.82
38,1024,9.51
38,2048,14.00
38,4096,22.44
38,8192,40.04
38,16384,66.96
38,32768,128.57
38,65536,263.93
38,131072,697.90
38,262144,1733.13
38,524288,4286.54
38,1048576,9866.42
40,2,2.75
40,4,2.86
40,8,2.78
40,16,3.03
40,32,3.27
40,64,4.04
40,128,4.43
40,256,5.39
40,512,6.89
40,1024,9.60
40,2048,14.27
40,4096,23.42
40,8192,41.90
40,16384,67.54
40,32768,123.83
40,65536,281.14
40,131072,759.43
40,262144,1835.33
40,524288,4576.48
40,1048576,10680.73
42,2,2.56
42,4,2.67
42,8,2.76
42,16,2.93
42,32,3.17
42,64,3.93
42,128,4.25
42,256,5.22
42,512,6.80
42,1024,9.68
42,2048,14.92
42,4096,23.81
42,8192,42.60
42,16384,71.34
42,32768,126.50
42,65536,294.26
42,131072,757.87
42,262144,1938.74
42,524288,4753.82
42,1048576,10610.78
44,2,2.55
44,4,2.70
44,8,2.70
44,16,2.89
44,32,3.15
44,64,3.90
44,128,4.31
44,256,5.49
44,512,7.11
44,1024,10.08
44,2048,15.02
44,4096,24.75
44,8192,44.78
44,16384,75.51
44,32768,130.96
44,65536,308.52
44,131072,797.73
44,262144,2001.01
44,524288,5211.56
44,1048576,11423.25
46,2,2.50
46,4,2.70
46,8,2.72
46,16,2.93
46,32,3.16
46,64,4.00
46,128,4.42
46,256,5.54
46,512,7.17
46,1024,10.27
46,2048,15.54
46,4096,25.28
46,8192,46.31
46,16384,78.73
46,32768,142.54
46,65536,340.61
46,131072,882.23
46,262144,2235.35
46,524288,5495.13
46,1048576,12105.12
48,2,3.38
48,4,2.64
48,8,2.75
48,16,3.01
48,32,3.26
48,64,3.99
48,128,4.54
48,256,5.65
48,512,7.46
48,1024,10.56
48,2048,15.98
48,4096,26.96
48,8192,48.75
48,16384,75.38
48,32768,157.58
48,65536,365.98
48,131072,962.82
48,262144,2450.93
48,524288,6001.73
48,1048576,12997.99
