Processes,Size,Latency
2,2,1.02
2,4,1.05
2,8,1.03
2,16,1.03
2,32,1.08
2,64,1.12
2,128,1.33
2,256,1.25
2,512,1.32
2,1024,1.45
2,2048,1.95
2,4096,3.10
2,8192,4.03
2,16384,6.15
2,32768,10.22
2,65536,14.47
2,131072,25.91
2,262144,41.87
2,524288,72.99
2,1048576,150.09
4,2,0.35
4,4,0.35
4,8,0.34
4,16,0.35
4,32,0.52
4,64,0.76
4,128,1.00
4,256,1.26
4,512,1.38
4,1024,1.68
4,2048,2.38
4,4096,3.63
4,8192,5.74
4,16384,6.50
4,32768,11.26
4,65536,18.56
4,131072,35.18
4,262144,57.37
4,524288,104.33
4,1048576,225.91
6,2,0.54
6,4,0.55
6,8,0.55
6,16,0.53
6,32,0.68
6,64,0.95
6,128,1.27
6,256,1.50
6,512,1.64
6,1024,2.05
6,2048,2.95
6,4096,4.33
6,8192,6.48
6,16384,7.53
6,32768,13.14
6,65536,21.06
6,131072,36.33
6,262144,71.13
6,524288,131.05
6,1048576,272.81
8,2,1.93
8,4,1.93
8,8,1.95
8,16,1.90
8,32,2.09
8,64,2.20
8,128,2.71
8,256,3.20
8,512,3.37
8,1024,3.68
8,2048,4.96
8,4096,6.62
8,8192,9.52
8,16384,10.11
8,32768,16.59
8,65536,26.69
8,131072,44.11
8,262144,81.83
8,524288,156.05
8,1048576,319.93
10,2,2.08
10,4,1.99
10,8,2.05
10,16,2.31
10,32,2.20
10,64,2.29
10,128,2.89
10,256,3.45
10,512,3.59
10,1024,4.02
10,2048,5.30
10,4096,7.19
10,8192,10.44
10,16384,10.28
10,32768,15.26
10,65536,26.19
10,131072,46.69
10,262144,105.04
10,524288,180.18
10,1048576,356.77
12,2,2.18
12,4,2.11
12,8,2.27
12,16,2.17
12,32,2.38
12,64,2.56
12,128,3.21
12,256,3.72
12,512,4.06
12,1024,4.62
12,2048,6.26
12,4096,8.34
12,8192,12.36
12,16384,11.31
12,32768,17.01
12,65536,29.43
12,131072,53.37
12,262144,123.33
12,524288,212.32
12,1048576,401.79
14,2,2.11
14,4,2.08
14,8,2.10
14,16,2.06
14,32,2.25
14,64,2.50
14,128,3.13
14,256,3.67
14,512,4.21
14,1024,4.74
14,2048,6.35
14,4096,8.81
14,8192,13.14
14,16384,11.73
14,32768,18.16
14,65536,31.93
14,131072,60.96
14,262144,138.99
14,524288,236.39
14,1048576,443.59
16,2,2.32
16,4,2.33
16,8,2.40
16,16,2.32
16,32,2.44
16,64,2.64
16,128,3.58
16,256,4.17
16,512,4.66
16,1024,5.55
16,2048,7.27
16,4096,9.93
16,8192,14.78
16,16384,12.68
16,32768,20.14
16,65536,34.37
16,131072,69.81
16,262144,150.53
16,524288,256.97
16,1048576,490.25
18,2,2.63
18,4,2.75
18,8,2.85
18,16,2.63
18,32,2.78
18,64,3.05
18,128,3.98
18,256,4.57
18,512,5.13
18,1024,5.98
18,2048,7.65
18,4096,10.69
18,8192,15.72
18,16384,13.26
18,32768,21.06
18,65536,37.13
18,131072,82.71
18,262144,149.34
18,524288,266.47
18,1048576,536.11
20,2,2.81
20,4,2.80
20,8,2.75
20,16,2.71
20,32,2.97
20,64,3.18
20,128,4.30
20,256,4.81
20,512,5.41
20,1024,6.61
20,2048,8.29
20,4096,11.38
20,8192,17.78
20,16384,13.80
20,32768,22.72
20,65536,39.29
20,131072,92.42
20,262144,164.45
20,524288,289.27
20,1048576,576.16
22,2,2.77
22,4,2.75
22,8,2.74
22,16,2.69
22,32,2.88
22,64,3.08
22,128,4.20
22,256,4.80
22,512,5.63
22,1024,6.74
22,2048,8.60
22,4096,12.52
22,8192,18.76
22,16384,14.49
22,32768,23.81
22,65536,41.97
22,131072,101.22
22,262144,180.95
22,524288,312.46
22,1048576,619.03
24,2,2.82
24,4,3.30
24,8,2.87
24,16,2.92
24,32,3.09
24,64,3.33
24,128,4.63
24,256,5.27
24,512,6.07
24,1024,7.15
24,2048,9.34
24,4096,13.93
24,8192,19.97
24,16384,15.74
24,32768,25.29
24,65536,48.61
24,131072,108.27
24,262144,193.95
24,524288,336.24
24,1048576,663.56
26,2,2.86
26,4,3.28
26,8,2.86
26,16,2.82
26,32,3.08
26,64,3.37
26,128,4.67
26,256,5.38
26,512,6.09
26,1024,7.43
26,2048,10.00
26,4096,13.85
26,8192,20.66
26,16384,17.11
26,32768,26.19
26,65536,49.71
26,131072,111.28
26,262144,213.64
26,524288,354.32
26,1048576,707.36
28,2,3.03
28,4,3.23
28,8,3.07
28,16,3.03
28,32,3.38
28,64,3.49
28,128,4.93
28,256,5.59
28,512,6.55
28,1024,7.94
28,2048,10.82
28,4096,15.03
28,8192,22.95
28,16384,16.95
28,32768,27.92
28,65536,53.17
28,131072,117.59
28,262144,223.93
28,524288,377.14
28,1048576,752.98
30,2,3.00
30,4,3.25
30,8,3.15
30,16,3.02
30,32,3.38
30,64,3.54
30,128,5.00
30,256,5.77
30,512,6.67
30,1024,7.95
30,2048,11.29
30,4096,16.00
30,8192,24.28
30,16384,16.94
30,32768,29.04
30,65536,58.43
30,131072,126.56
30,262144,225.75
30,524288,395.70
30,1048576,797.88
32,2,3.45
32,4,4.16
32,8,3.34
32,16,3.39
32,32,3.74
32,64,3.69
32,128,5.56
32,256,6.32
32,512,7.19
32,1024,8.96
32,2048,12.30
32,4096,17.00
32,8192,26.09
32,16384,18.71
32,32768,30.75
32,65536,60.11
32,131072,142.16
32,262144,241.14
32,524288,418.97
32,1048576,841.53
34,2,3.82
34,4,3.81
34,8,3.80
34,16,3.83
34,32,4.11
34,64,4.17
34,128,6.06
34,256,6.74
34,512,7.60
34,1024,9.39
34,2048,12.54
34,4096,17.87
34,8192,27.39
34,16384,19.16
34,32768,32.40
34,65536,64.78
34,131072,135.00
34,262144,247.24
34,524288,449.03
34,1048576,888.14
36,2,3.92
36,4,4.15
36,8,3.90
36,16,3.85
36,32,4.11
36,64,4.35
36,128,6.14
36,256,6.82
36,512,7.79
36,1024,9.96
36,2048,13.18
36,4096,18.79
36,8192,29.09
36,16384,19.70
36,32768,33.59
36,65536,70.92
36,131072,142.17
36,262144,265.43
36,524288,465.24
36,1048576,933.66
38,2,3.79
38,4,3.92
38,8,3.81
38,16,3.86
38,32,4.07
38,64,4.29
38,128,6.20
38,256,6.94
38,512,7.84
38,1024,9.98
38,2048,14.03
38,4096,19.36
38,8192,29.57
38,16384,20.38
38,32768,36.55
38,65536,76.33
38,131072,164.53
38,262144,267.75
38,524288,485.83
38,1048576,982.63
40,2,4.01
40,4,3.97
40,8,4.00
40,16,4.10
40,32,4.26
40,64,4.55
40,128,6.66
40,256,7.37
40,512,8.32
40,1024,10.53
40,2048,14.90
40,4096,20.77
40,8192,32.10
40,16384,20.95
40,32768,36.87
40,65536,76.96
40,131072,152.95
40,262144,282.45
40,524288,508.90
40,1048576,1025.02
42,2,4.41
42,4,3.91
42,8,3.97
42,16,3.93
42,32,4.21
42,64,4.64
42,128,6.75
42,256,7.35
42,512,8.33
42,1024,10.63
42,2048,15.16
42,4096,21.69
42,8192,32.83
42,16384,21.77
42,32768,37.49
42,65536,79.23
42,131072,161.61
42,262144,291.51
42,524288,533.75
42,1048576,1077.64
44,2,4.61
44,4,4.22
44,8,4.21
44,16,4.29
44,32,4.42
44,64,4.73
44,128,6.95
44,256,7.84
44,512,8.91
44,1024,11.14
44,2048,15.16
44,4096,23.08
44,8192,34.81
44,16384,22.81
44,32768,40.27
44,65536,82.90
44,131072,165.58
44,262144,309.92
44,524288,565.32
44,1048576,1146.16
46,2,4.71
46,4,4.21
46,8,4.32
46,16,4.25
46,32,4.56
46,64,4.62
46,128,6.95
46,256,7.84
46,512,8.88
46,1024,11.33
46,2048,16.48
46,4096,23.31
46,8192,35.76
46,16384,24.38
46,32768,40.71
46,65536,91.38
46,131072,167.75
46,262144,325.06
46,524288,575.16
46,1048576,1176.74
48,2,4.67
48,4,4.42
48,8,4.48
48,16,4.54
48,32,4.90
48,64,5.05
48,128,7.44
48,256,8.31
48,512,9.57
48,1024,12.01
48,2048,17.03
48,4096,25.03
48,8192,39.74
48,16384,24.99
48,32768,45.24
48,65536,97.99
48,131072,177.45
48,262144,324.46
48,524288,601.77
48,1048576,1235.90
