# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.17
2                       0.17
4                       0.17
8                       0.17
16                      0.17
32                      0.22
64                      0.21
128                     0.29
256                     0.32
512                     0.39
1024                    0.49
2048                    0.68
4096                    1.08
8192                    1.84
16384                   2.84
32768                   4.50
65536                   7.75
131072                 13.94
262144                 14.62
524288                 26.85
1048576                55.60
2097152               151.79
4194304               390.61
