Total Tasks,Execution Time (s)
1,1.686779
2,0.847099
3,1.019454
4,0.693575
5,0.678282
6,0.523761
7,0.507634
8,0.422444
9,0.390678
10,0.359815
11,0.350606
12,0.301736
13,0.280244
14,0.254739
15,0.288354
16,0.245495
17,0.256254
18,0.199193
19,0.222249
20,0.226175
21,0.199687
22,0.190684
23,0.182551
24,0.172814
25,0.190416
26,0.148643
27,0.144258
28,0.168926
29,0.143389
30,0.131028
31,0.150506
32,0.126521
33,0.133144
34,0.150506
35,0.130702
36,0.145864
37,0.137563
38,0.129747
39,0.121155
40,0.153574
41,0.128711
42,0.149961
43,0.153638
44,0.124736
45,0.143832
46,0.146646
47,0.131641
48,0.147933
