MPI_Processes,Columns,Rows,Execution_Time
1,1000,1000,0.453639
2,1000,2000,0.466403
3,1000,3000,0.803402
4,1000,4000,0.719621
5,1000,5000,0.881236
6,1000,6000,0.808096
7,1000,7000,0.898833
8,1000,8000,0.891202
9,1000,9000,0.907750
10,1000,10000,0.886306
11,1000,11000,0.910427
12,1000,12000,0.898229
13,1000,13000,0.918553
14,1000,14000,0.902933
15,1000,15000,0.928504
16,1000,16000,0.943243
17,1000,17000,0.947279
18,1000,18000,0.923985
19,1000,19000,0.937521
20,1000,20000,0.920237
21,1000,21000,0.974183
22,1000,22000,0.945082
23,1000,23000,0.984852
24,1000,24000,0.949983
25,1000,25000,0.949296
26,1000,26000,0.937076
27,1000,27000,0.945119
28,1000,28000,0.974676
29,1000,29000,0.967004
30,1000,30000,0.956365
31,1000,31000,0.969930
32,1000,32000,0.956767
33,1000,33000,1.000599
34,1000,34000,0.967530
35,1000,35000,0.956809
36,1000,36000,0.953834
37,1000,37000,0.960234
38,1000,38000,0.988156
39,1000,39000,0.962321
40,1000,40000,0.984782
41,1000,41000,0.985684
42,1000,42000,1.003624
43,1000,43000,0.970063
44,1000,44000,0.959155
45,1000,45000,0.964358
46,1000,46000,0.982373
47,1000,47000,1.014790
48,1000,48000,1.018765
