OMP_NUM_THREADS,Cols,Rows,Execution_Time
1,1000,1000,0.536408
2,1000,2000,0.526229
3,1000,3000,0.606519
4,1000,4000,0.649331
5,1000,5000,0.613418
6,1000,6000,0.602631
7,1000,7000,0.600384
8,1000,8000,0.610176
9,1000,9000,0.699350
10,1000,10000,0.809389
11,1000,11000,0.681336
12,1000,12000,0.860023
13,1000,13000,0.836484
14,1000,14000,0.884500
15,1000,15000,0.873274
16,1000,16000,0.834114
17,1000,17000,1.135049
18,1000,18000,0.961370
19,1000,19000,1.012392
20,1000,20000,0.999228
21,1000,21000,1.270477
22,1000,22000,1.404257
23,1000,23000,1.663050
24,1000,24000,1.362748
